id,name
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei
25,Bulgaria
26,Burkina Faso
27,Burundi
28,Cambodia
29,Cameroon
30,Canada
31,Cape Verde
32,Central African Republic
33,Chad
34,Chile
35,China
36,Colombia
37,Comoros
38,Congo
39,Congo (Democratic Republic)
40,Costa Rica
41,Croatia
42,Cuba
43,Cyprus
44,Czechia
45,Denmark
46,Djibouti
47,Dominica
48,Dominican Republic
49,East Timor
50,Ecuador
51,Egypt
52,El Salvador
53,Equatorial Guinea
54,Eritrea
55,Estonia
56,Eswatini
57,Ethiopia
58,Fiji
59,Finland
60,France
61,Gabon
62,Georgia
63,Germany
64,Ghana
65,Greece
66,Grenada
67,Guatemala
68,Guinea
69,Guinea-Bissau
70,Guyana
71,Haiti
72,Honduras
73,Hungary
74,Iceland
75,India
76,Indonesia
77,Iran
78,Iraq
79,Ireland
80,Israel
81,Italy
82,Ivory Coast
83,Jamaica
84,Japan
85,Jordan
86,Kazakhstan
87,Kenya
88,Kiribati
89,Kosovo
90,Kuwait
91,Kyrgyzstan
92,Laos
93,Latvia
94,Lebanon
95,Lesotho
96,Liberia
97,Libya
98,Liechtenstein
99,Lithuania
100,Luxembourg
101,Madagascar
102,Malawi
103,Malaysia
104,Maldives
105,Mali
106,Malta
107,Marshall Islands
108,Mauritania
109,Mauritius
110,Mexico
111,Federated States of Micronesia
112,Moldova
113,Monaco
114,Mongolia
115,Montenegro
116,Morocco
117,Mozambique
118,Myanmar (Burma)
119,Namibia
120,Nauru
121,Nepal
122,Netherlands
123,New Zealand
124,Nicaragua
125,Niger
126,Nigeria
127,North Korea
128,North Macedonia
129,Norway
130,Oman
131,Pakistan
132,Palau
133,Panama
134,Papua New Guinea
135,Paraguay
136,Peru
137,Philippines
138,Poland
139,Portugal
140,Qatar
141,Romania
142,Russia
143,Rwanda
144,St Kitts and Nevis
145,St Lucia
146,St Vincent
147,Samoa
148,San Marino
149,Sao Tome and Principe
150,Saudi Arabia
151,Senegal
152,Serbia
153,Seychelles
154,Sierra Leone
155,Singapore
156,Slovakia
157,Slovenia
158,Solomon Islands
159,Somalia
160,South Africa
161,South Korea
162,South Sudan
163,Spain
164,Sri Lanka
165,Sudan
166,Suriname
167,Sweden
168,Switzerland
169,Syria
170,Tajikistan
171,Tanzania
172,Thailand
173,The Bahamas
174,The Gambia
175,Togo
176,Tonga
177,Trinidad and Tobago
178,Tunisia
179,Turkey
180,Turkmenistan
181,Tuvalu
182,Uganda
183,Ukraine
184,United Arab Emirates
185,United Kingdom
186,United States
187,Uruguay
188,Uzbekistan
189,Vanuatu
190,Vatican City
191,Venezuela
192,Vietnam
193,Yemen
194,Zambia
195,Zimbabwe
